r,qtet_age_ga,lcdm_age_ga,delta_ga
1.0,0.0,0.0,0.0
1.0343347639484979,0.0007869054409848832,0.45809128630705387,-0.457304380866069
1.0686695278969958,0.0012128246918333453,0.8867469879518076,-0.8855341632599742
1.1030042918454936,0.0013104849585526773,1.2887159533073946,-1.287405468348842
1.1373390557939915,0.0011103999880617658,1.6664150943396239,-1.6653046943515621
1.1716738197424892,0.000641125666755645,2.021978021978021,-2.0213368963112655
1.206008583690987,-7.052337836515655e-05,2.3572953736654805,-2.3573658970438456
1.240343347639485,-0.000999289619777934,2.674048442906574,-2.675047732526352
1.2746781115879828,-0.002121315601644352,2.9737373737373742,-2.9758586893390184
1.3090128755364807,-0.003414009716610623,3.257704918032788,-3.2611189277493984
1.3433476394849786,-0.00485593123759582,3.527156549520767,-3.532012480758363
1.3776824034334765,-0.006426691675548225,3.7831775700934585,-3.7896042617690067
1.4120171673819741,-0.008106870032291323,4.026747720364741,-4.034854590397032
1.4463519313304722,-0.009877939919787311,4.258753709198815,-4.2686316491186025
1.48068669527897,-0.011722206843702888,4.4799999999999995,-4.491722206843702
1.5150214592274678,-0.013622754215706122,4.691218130311615,-4.704840884527321
1.5493562231759657,-0.015563396877582507,4.893074792243767,-4.9086381891213495
1.5836909871244635,-0.01752864110050763,5.0861788617886186,-5.103707502889126
1.6180257510729614,-0.019503650172090093,5.271087533156499,-5.290591183328589
1.652360515021459,-0.02147421480798148,5.448311688311687,-5.469785903119669
1.6866952789699572,-0.023426727728608716,5.618320610687024,-5.641747338415633
1.7210300429184548,-0.02534816182864641,5.781546134663342,-5.806894296491989
1.7553648068669527,-0.02722605144020657,5.93838630806846,-5.9656123595086665
1.7896995708154506,-0.029048476252790594,6.089208633093526,-6.118257109346317
1.8240343347639485,-0.030804047505782445,6.234352941176471,-6.265156988682254
1.8583690987124464,-0.03248189611424819,6.374133949191687,-6.406615845305935
1.8927038626609443,-0.034071662427349075,6.5088435374149665,-6.542915199842316
1.9270386266094421,-0.03556348735183569,6.638752783964366,-6.674316271316202
1.9613733905579398,-0.036948004601749185,6.764113785557986,-6.801061790159735
1.995708154506438,-0.038216333860335856,6.88516129032258,-6.923377624182916
2.0300429184549356,-0.039360074661885736,7.002114164904863,-7.041474239566749
2.0643776824034337,-0.04037130082023397,7.115176715176716,-7.15554801599695
2.0987124463519313,-0.04124255524743309,7.224539877300613,-7.265782432548046
2.133047210300429,-0.041966845020964615,7.330382293762574,-7.372349138783539
2.167381974248927,-0.04253763657110149,7.432871287128714,-7.475408923699816
2.201716738197425,-0.042948850871907016,7.53216374269006,-7.575112593561967
2.236051502145923,-0.04319485853006652,7.628406909788868,-7.671601768318935
2.2703862660944205,-0.04327047467547239,7.721739130434783,-7.765009605110255
2.304721030042918,-0.04317095356636825,7.812290502793296,-7.855461456359664
2.3390557939914163,-0.04289198283002976,7.900183486238533,-7.943075469068563
2.3733905579399144,-0.042429677267524515,7.985533453887885,-8.02796313115541
2.407725321888412,-0.04178057215814105,8.068449197860964,-8.110229770019105
2.4420600858369097,-0.04094161600568429,8.14903339191564,-8.189975007921324
2.476394849785408,-0.03991016267506573,8.227383015597923,-8.267293178272988
2.5107296137339055,-0.03868396287352633,8.303589743589743,-8.342273706463269
